canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
Cc1cc(C(=O)Nc2cccn(Cc3ccc(F)cc3)c2=O)on1,CHEMBL3463137,IC50,nM,12879.0,CHEMBL4662927,pIC50,,4.89011801845474,Histidine--tRNA ligase,Leishmania infantum
Cc1cc(C(=O)Nc2cccn(Cc3ccc(F)cc3)c2=O)on1,CHEMBL3463137,IC50,nM,11269.62,CHEMBL4662927,pIC50,,4.94809063211328,Histidine--tRNA ligase,Leishmania infantum
COc1ccc(CC(=O)N(C)c2cccnc2N(C)C)c(Cl)c1,CHEMBL3464944,IC50,nM,19370.5,CHEMBL4662927,pIC50,,4.71285916263197,Histidine--tRNA ligase,Leishmania infantum
COc1ccc(CC(=O)N(C)c2cccnc2N(C)C)c(Cl)c1,CHEMBL3464944,IC50,nM,16528.07,CHEMBL4662927,pIC50,,4.78177792564369,Histidine--tRNA ligase,Leishmania infantum
Brc1ccc(C2(CNCc3cc[nH]c3)CCOCC2)cc1,CHEMBL3465948,IC50,nM,39478.59,CHEMBL4662927,pIC50,,4.40363834865355,Histidine--tRNA ligase,Leishmania infantum
Brc1ccc(C2(CNCc3cc[nH]c3)CCOCC2)cc1,CHEMBL3465948,IC50,nM,23467.39,CHEMBL4662927,pIC50,,4.62953525791993,Histidine--tRNA ligase,Leishmania infantum
CCC(C)CNc1ccc2oc(COC)nc2c1,CHEMBL3468857,IC50,nM,11069.93,CHEMBL4662927,pIC50,,4.95585510075491,Histidine--tRNA ligase,Leishmania infantum
CCC(C)CNc1ccc2oc(COC)nc2c1,CHEMBL3468857,IC50,nM,14098.92,CHEMBL4662927,pIC50,,4.85081408490264,Histidine--tRNA ligase,Leishmania infantum
COc1ncc(C)cc1NC(=O)COCC(F)(F)F,CHEMBL3461278,IC50,nM,25311.57,CHEMBL4662927,pIC50,,4.59668098647014,Histidine--tRNA ligase,Leishmania infantum
COc1ncc(C)cc1NC(=O)COCC(F)(F)F,CHEMBL3461278,IC50,nM,19410.15,CHEMBL4662927,pIC50,,4.71197119209331,Histidine--tRNA ligase,Leishmania infantum
Cc1cc(=O)n(C)cc1NC(=O)CC1CCC1,CHEMBL3462212,IC50,nM,7560.41,CHEMBL4662927,pIC50,,5.12145488778175,Histidine--tRNA ligase,Leishmania infantum
Cc1cc(=O)n(C)cc1NC(=O)CC1CCC1,CHEMBL3462212,IC50,nM,7204.93,CHEMBL4662927,pIC50,,5.1423703546333,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NC(=O)C(C)CCc2ccccc2F)ccc1=O,CHEMBL3462229,IC50,nM,3962.12,CHEMBL4662927,pIC50,,5.40207199002713,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NC(=O)C(C)CCc2ccccc2F)ccc1=O,CHEMBL3462229,IC50,nM,4011.62,CHEMBL4662927,pIC50,,5.39668001955995,Histidine--tRNA ligase,Leishmania infantum
Oc1ccc(N(CCc2ccccc2)CCn2cncn2)cc1,CHEMBL3463168,IC50,nM,39552.48,CHEMBL4662927,pIC50,,4.40282624389197,Histidine--tRNA ligase,Leishmania infantum
Oc1ccc(N(CCc2ccccc2)CCn2cncn2)cc1,CHEMBL3463168,IC50,nM,56748.6,CHEMBL4662927,pIC50,,4.24604487293356,Histidine--tRNA ligase,Leishmania infantum
CCCn1nc2c(cc1=O)CN(Cc1cc(C)on1)CC2,CHEMBL3468905,IC50,nM,80743.07,CHEMBL4662927,pIC50,,4.09289475373203,Histidine--tRNA ligase,Leishmania infantum
CCCn1nc2c(cc1=O)CN(Cc1cc(C)on1)CC2,CHEMBL3468905,IC50,nM,80307.89,CHEMBL4662927,pIC50,,4.09524178610086,Histidine--tRNA ligase,Leishmania infantum
COCc1nc2cc(NCc3ccncc3)ccc2o1,CHEMBL3468912,IC50,nM,4219.44,CHEMBL4662927,pIC50,,5.37474541952865,Histidine--tRNA ligase,Leishmania infantum
COCc1nc2cc(NCc3ccncc3)ccc2o1,CHEMBL3468912,IC50,nM,3128.82,CHEMBL4662927,pIC50,,5.50461958336613,Histidine--tRNA ligase,Leishmania infantum
COCc1nc2cc(NCc3ccc(C)o3)ccc2o1,CHEMBL3468916,IC50,nM,67455.63,CHEMBL4662927,pIC50,,4.17098179059864,Histidine--tRNA ligase,Leishmania infantum
COCc1nc2cc(NCc3ccc(C)o3)ccc2o1,CHEMBL3468916,IC50,nM,55269.81,CHEMBL4662927,pIC50,,4.25751205982727,Histidine--tRNA ligase,Leishmania infantum
Cn1nc2c(cc1=O)CN(c1ncnc3ccsc13)CC2,CHEMBL3462271,IC50,nM,14118.65,CHEMBL4662927,pIC50,,4.85020687316739,Histidine--tRNA ligase,Leishmania infantum
Cn1nc2c(cc1=O)CN(c1ncnc3ccsc13)CC2,CHEMBL3462271,IC50,nM,17430.13,CHEMBL4662927,pIC50,,4.75869936699612,Histidine--tRNA ligase,Leishmania infantum
CCn1nc2c(cc1=O)CN(c1ncnc3ccsc13)CC2,CHEMBL3462274,IC50,nM,54337.09,CHEMBL4662927,pIC50,,4.26490364510068,Histidine--tRNA ligase,Leishmania infantum
CCn1nc2c(cc1=O)CN(c1ncnc3ccsc13)CC2,CHEMBL3462274,IC50,nM,39765.66,CHEMBL4662927,pIC50,,4.40049180303978,Histidine--tRNA ligase,Leishmania infantum
CC(=O)N1CCN(C(=O)CNc2ccc3ncsc3c2)CC1,CHEMBL3466073,IC50,nM,6784.1,CHEMBL4662927,pIC50,,5.16850793904549,Histidine--tRNA ligase,Leishmania infantum
CC(=O)N1CCN(C(=O)CNc2ccc3ncsc3c2)CC1,CHEMBL3466073,IC50,nM,9490.19,CHEMBL4662927,pIC50,,5.02272488757729,Histidine--tRNA ligase,Leishmania infantum
CCCn1nc2c(cc1=O)CN(Cc1nc(CCOC)no1)CC2,CHEMBL3468936,IC50,nM,57710.07,CHEMBL4662927,pIC50,,4.23874842516733,Histidine--tRNA ligase,Leishmania infantum
CCCn1nc2c(cc1=O)CN(Cc1nc(CCOC)no1)CC2,CHEMBL3468936,IC50,nM,67232.38,CHEMBL4662927,pIC50,,4.17242152674283,Histidine--tRNA ligase,Leishmania infantum
CC(C)c1ccc(C(=O)O)cc1S(=O)(=O)Nc1ccc(=O)n(C)c1,CHEMBL3465147,IC50,nM,12545.59,CHEMBL4662927,pIC50,,4.90150905055839,Histidine--tRNA ligase,Leishmania infantum
CC(C)c1ccc(C(=O)O)cc1S(=O)(=O)Nc1ccc(=O)n(C)c1,CHEMBL3465147,IC50,nM,14901.76,CHEMBL4662927,pIC50,,4.8267624049491,Histidine--tRNA ligase,Leishmania infantum
COc1ccsc1C(=O)Nc1cc(Cl)c(=O)n(C)c1,CHEMBL3465157,IC50,nM,12335.23,CHEMBL4662927,pIC50,,4.90885283989301,Histidine--tRNA ligase,Leishmania infantum
COc1ccsc1C(=O)Nc1cc(Cl)c(=O)n(C)c1,CHEMBL3465157,IC50,nM,10600.89,CHEMBL4662927,pIC50,,4.97465779857626,Histidine--tRNA ligase,Leishmania infantum
Cc1ccsc1C(=O)Nc1cc(Br)c(=O)n(C)c1,CHEMBL3465162,IC50,nM,30317.31,CHEMBL4662927,pIC50,,4.51830927812719,Histidine--tRNA ligase,Leishmania infantum
Cc1ccsc1C(=O)Nc1cc(Br)c(=O)n(C)c1,CHEMBL3465162,IC50,nM,25258.45,CHEMBL4662927,pIC50,,4.59759324092682,Histidine--tRNA ligase,Leishmania infantum
COc1ccsc1C(=O)Nc1cc(Br)c(=O)n(C)c1,CHEMBL3465163,IC50,nM,19724.25,CHEMBL4662927,pIC50,,4.70499950589396,Histidine--tRNA ligase,Leishmania infantum
COc1ccsc1C(=O)Nc1cc(Br)c(=O)n(C)c1,CHEMBL3465163,IC50,nM,23287.35,CHEMBL4662927,pIC50,,4.63288001737322,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NCc2cn(C)nc2-c2ccncc2)cn1,CHEMBL3466124,IC50,nM,47400.69,CHEMBL4662927,pIC50,,4.32421534695958,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NCc2cn(C)nc2-c2ccncc2)cn1,CHEMBL3466124,IC50,nM,46642.3,CHEMBL4662927,pIC50,,4.33122006297018,Histidine--tRNA ligase,Leishmania infantum
COc1cccc(CNc2cc(C)nc(-c3ccncc3)n2)c1OC,CHEMBL3462406,IC50,nM,91843.84,CHEMBL4662927,pIC50,,4.03694997216306,Histidine--tRNA ligase,Leishmania infantum
CN(C(=O)CN1CCc2nn(C)c(=O)cc2C1)c1nccs1,CHEMBL3466181,IC50,nM,95291.63,CHEMBL4662927,pIC50,,4.02094524064526,Histidine--tRNA ligase,Leishmania infantum
c1cncc(NCCNC2CCSC2)c1,CHEMBL3477973,IC50,nM,31892.14,CHEMBL4662927,pIC50,,4.4963162965279,Histidine--tRNA ligase,Leishmania infantum
c1cncc(NCCNC2CCSC2)c1,CHEMBL3477973,IC50,nM,22964.93,CHEMBL4662927,pIC50,,4.6389347848445,Histidine--tRNA ligase,Leishmania infantum
Cc1nc(CCN)cc(N2CCOc3ccc(Cl)cc3C2)n1,CHEMBL3478909,IC50,nM,41727.67,CHEMBL4662927,pIC50,,4.37957588993215,Histidine--tRNA ligase,Leishmania infantum
Cc1nc(CCN)cc(N2CCOc3ccc(Cl)cc3C2)n1,CHEMBL3478909,IC50,nM,34233.23,CHEMBL4662927,pIC50,,4.46555209676596,Histidine--tRNA ligase,Leishmania infantum
O=C(NCc1cccnc1N1CCc2ccccc2C1)c1cc(=O)[nH][nH]1,CHEMBL3473310,IC50,nM,44836.59,CHEMBL4662927,pIC50,,4.3483673969744,Histidine--tRNA ligase,Leishmania infantum
O=C(NCc1cccnc1N1CCc2ccccc2C1)c1cc(=O)[nH][nH]1,CHEMBL3473310,IC50,nM,45140.18,CHEMBL4662927,pIC50,,4.34543673002905,Histidine--tRNA ligase,Leishmania infantum
CN(Cc1ccccc1CN1CCCC1)c1ncnc2[nH]ccc12,CHEMBL3478969,IC50,nM,44788.61,CHEMBL4662927,pIC50,,4.34883245658259,Histidine--tRNA ligase,Leishmania infantum
CN(Cc1ccccc1CN1CCCC1)c1ncnc2[nH]ccc12,CHEMBL3478969,IC50,nM,48716.61,CHEMBL4662927,pIC50,,4.31232295532092,Histidine--tRNA ligase,Leishmania infantum
