molecule_chembl_id,parasite_ic50,human_ic50,selectivity_ratio,parasite_target,human_target,disease,selectivity_class
CHEMBL4748158,190.0,530.0,2.789473684210526,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL4752301,130.0,10980.0,84.46153846153847,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4759800,810.0,40.0,0.04938271604938271,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL4761589,180.0,1830.0,10.166666666666666,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4763597,40000.0,56000.0,1.4,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL4776197,17000.0,54000.0,3.176470588235294,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL4779765,140.0,12260.0,87.57142857142857,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4783402,75000.0,24000.0,0.32,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL4783671,530.0,90.0,0.16981132075471697,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL4791810,250.0,810.0,3.24,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL5170968,32100.0,59000.0,1.838006230529595,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5171609,760.0,15000.0,19.736842105263158,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5173732,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5175012,3260.0,6020.0,1.8466257668711656,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5175397,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5180552,460.0,4300.0,9.347826086956522,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL5180685,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5182125,9360.0,89000.0,9.508547008547009,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL5182291,1210.0,10200.0,8.429752066115702,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL5183748,850.0,35000.0,41.1764705882353,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5184646,68000.0,100000.0,1.4705882352941178,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5184936,910.0,73000.0,80.21978021978022,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5188304,1140.0,35700.0,31.31578947368421,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5193564,710.0,78000.0,109.85915492957747,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5193762,23400.0,100000.0,4.273504273504273,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL5197107,2050.0,29900.0,14.585365853658537,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5198855,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5199171,180.0,13000.0,72.22222222222223,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5200612,890.0,100000.0,112.35955056179775,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5201183,230.0,3400.0,14.782608695652174,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5201599,82300.0,100000.0,1.2150668286755772,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5204239,720.0,40300.0,55.97222222222222,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5205037,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5205559,150.0,9000.0,60.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5206994,130.0,12000.0,92.3076923076923,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5208403,100000.0,100000.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL5759188,28.8,955.0,33.15972222222222,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5776717,42.7,1148.0,26.885245901639344,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5786336,7.94,6166.0,776.5743073047859,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL5820611,52.5,1585.0,30.19047619047619,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL6054471,3.72,129.0,34.677419354838705,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL6742,12589.25,1659.59,0.13182596262684432,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL6948,2187.76,130.0,0.05942150875781621,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL7130,1202.26,93.33,0.07762879909503768,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL1232399,100.0,10000.0,100.0,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL1232702,37.0,800.0,21.62162162162162,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL1650287,2000.0,300000.0,150.0,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL2178599,390.0,15430.0,39.56410256410256,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL2178600,210.0,60000.0,285.7142857142857,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL2178602,30.0,4330.0,144.33333333333334,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL2178603,60.0,4680.0,78.0,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,SELECTIVE
CHEMBL2178604,4170.0,590.0,0.14148681055155876,Pteridine reductase 1,DHFR (closest functional equivalent),Leishmaniasis,COUNTER-SELECTIVE
