molecule_chembl_id,parasite_ic50,human_ic50,selectivity_ratio,parasite_target,human_target_id,selectivity_class,human_target
CHEMBL4214364,316.23,1995.26,6.309521550770008,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4216582,630.96,10000.0,15.848865221250158,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4217833,398.11,2511.89,6.309537564994599,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4218119,630.96,630.96,1.0,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4218358,794.33,3162.28,3.981065803885035,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4218658,251.19,1995.26,7.943230224133126,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4435831,398.11,630.96,1.5848885986285197,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4436770,79.43,794.33,10.000377691048723,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4439032,199.53,199.53,1.0,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4439778,125.89,630.96,5.011994598458973,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4439798,398.11,794.33,1.9952525683856221,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4443772,316.23,794.33,2.511874268728457,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4444414,125.89,398.11,3.162363968543967,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4445489,199.53,251.19,1.2589084348218313,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4445930,100.0,501.19,5.0119,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4453045,199.53,1000.0,5.0117776775422245,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4453613,630.96,398.11,0.6309591733231901,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4454951,100.0,630.96,6.3096000000000005,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4463356,501.19,316.23,0.6309583192003033,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4464777,501.19,398.11,0.794329495799996,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4465919,630.96,316.23,0.5011886648915937,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4471782,2511.89,501.19,0.19952704935327584,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4472788,1000.0,794.33,0.7943300000000001,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4473629,316.23,794.33,2.511874268728457,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
