assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
B,CCCCOc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1,CHEMBL434978,IC50,nM,39700.0,CHEMBL4386,IC50,uM,39.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,C[C@@H](NC(P(=O)(O)O)P(=O)(O)O)c1cccc2ccccc12,CHEMBL382754,IC50,nM,42700.0,CHEMBL4386,IC50,uM,42.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCNC(P(=O)(O)O)P(=O)(O)O,CHEMBL55608,IC50,nM,43300.0,CHEMBL4386,IC50,uM,43.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(NC1CCCCCC1)P(=O)(O)O,CHEMBL53950,IC50,nM,44300.0,CHEMBL4386,IC50,uM,44.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CN(C)Cc1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL199254,IC50,nM,44700.0,CHEMBL4386,IC50,uM,44.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(Cc2ccccc2)c1)P(=O)(O)O,CHEMBL192793,IC50,nM,46700.0,CHEMBL4386,IC50,uM,46.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCNC(P(=O)(O)O)P(=O)(O)O,CHEMBL299717,IC50,nM,47700.0,CHEMBL4386,IC50,uM,47.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL110971,IC50,nM,47700.0,CHEMBL4386,IC50,uM,47.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(CNC12CC3CC(CC(C3)C1)C2)P(=O)(O)O,CHEMBL371673,IC50,nM,48000.0,CHEMBL4386,IC50,uM,48.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,C[C@H](NC(P(=O)(O)O)P(=O)(O)O)c1cccc2ccccc12,CHEMBL197935,IC50,nM,49700.0,CHEMBL4386,IC50,uM,49.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Cc1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL371264,IC50,nM,52300.0,CHEMBL4386,IC50,uM,52.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2ccc(F)c(F)c2)c1)P(=O)(O)O,CHEMBL197173,IC50,nM,53300.0,CHEMBL4386,IC50,uM,53.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Nc1ccc(CC(O)(P(=O)(O)O)P(=O)(O)O)cc1,CHEMBL417932,IC50,nM,55000.0,CHEMBL4386,IC50,uM,55.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCc1cccc(NC(P(=O)(O)O)P(=O)(O)O)n1,CHEMBL197944,IC50,nM,55000.0,CHEMBL4386,IC50,uM,55.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCCCCCCNC(P(=O)(O)O)P(=O)(O)O,CHEMBL417549,IC50,nM,56700.0,CHEMBL4386,IC50,uM,56.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL370664,IC50,nM,65700.0,CHEMBL4386,IC50,uM,65.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
